"State","AverageCost"
"DE","81505.51756"
"HI","104897.262264"
"TX","64795.39835196859"
"MA","101891.57594571423"
"MD","79001.490465"
"IA","66089.03930787879"
"ME","74208.43657499997"
"ID","70506.01943999999"
"MI","68782.09874313262"
"UT","75609.05435999997"
"MN","71748.34987724139"
"MO","66220.76276793101"
"IL","73024.61305294126"
"IN","69161.68045956528"
"MS","61360.990603902464"
"MT","74756.84735357141"
"AK","85234.55736000005"
"AL","68967.57001970141"
"VA","76748.5580093234"
"AR","61491.891851199995"
"NC","70013.58695279993"
"ND","68709.92760905655"
"NE","77684.60194193556"
"RI","83512.76973600002"
"AZ","75985.939376"
"NH","74802.49417199998"
"NJ","92575.26389142853"
"VT","83138.32448571426"
"NM","67687.5620872727"
"FL","71521.72298149248"
"NV","75925.310202353"
"WA","75648.91015076918"
"NY","86764.05435290316"
"SC","62104.869806086885"
"SD","70538.72318727284"
"WI","73150.61948166671"
"OH","65100.18750818178"
"GA","64898.33659396217"
"OK","71110.675372987"
"CA","93179.16306000008"
"WV","76899.70326545452"
"WY","84289.7736678261"
"OR","83818.03268333335"
"KS","67233.07662514281"
"CO","77595.78296437493"
"KY","65294.22777499995"
"CT","90013.50462000002"
"PA","72114.34076417919"
"LA","68282.349845625"
"TN","62871.10726105268"
"DC","120289.63692"
