country_name,YearlySalary
Afghanistan,10244.88
Aland Islands,39830.88
Albania,9994.08
Algeria,13786.08
American Samoa,16680
Andorra,44016.96
Angola,3412.68
Antigua and Barbuda,18577.8
Argentina,1323.36
Armenia,20403
Aruba,13273.8
Australia,51677.4
Austria,42875.28
Azerbaijan,18705.84
Bahamas,42492
Bahrain,43404.24
Bangladesh,2622.84
Barbados,16740
Belarus,10194
Belgium,68752.68
Belize,20760
Benin,5859
Bermuda,17280
Bhutan,4887.12
Bolivia,13578
Bosnia and Herzegovina,13816.2
Botswana,8752.68
Brazil,17880.48
British Indian Ocean Territory,28320
Brunei,25323.48
Bulgaria,19264.92
Burkina Faso,5820.24
Burundi,4617.36
Cambodia,8942.28
Cameroon,7599.24
Canada,75732.36
Cape Verde,20475.48
Cayman Islands,41171.64
Central African Republic,7463.88
Chad,8488.68
Chile,22684.8
China,44219.16
Colombia,11947.2
Comoros,6806.52
Congo,12704.04
Congo Democratic Republic,2044.68
Cook Islands,30467.04
Costa Rica,48192.72
Cote Divoire,5974.92
Croatia,23225.76
Cuba,9399.96
Cyprus,23720.88
Czech Republic,27720.36
Denmark,61019.88
Djibouti,16542.84
Dominica,5955.6
Dominican Republic,3826.68
East Timor,24360
Ecuador,15120
Egypt,3054.36
El Salvador,17640
Equatorial Guinea,8063.28
Eritrea,4824
Estonia,30951.36
Ethiopia,1726.56
Faroe Islands,41813.04
Fiji,23269.56
Finland,50866.8
France,45234.72
French Guiana,34756.92
French Polynesia,13605
Gabon,9610.2
Gambia,2684.4
Georgia,27716.4
Germany,44778
Ghana,4485.84
Gibraltar,42804.84
Greece,26892.12
Greenland,42322.92
Grenada,24800.04
Guadeloupe,47822.4
Guam,15240
Guatemala,14671.8
Guernsey,104268.24
Guinea,8360.52
Guinea-Bissau,5704.2
Guyana,8775.84
Haiti,5339.4
Honduras,12266.64
Hong Kong,51034.44
Hungary,14729.52
Iceland,55934.4
India,3935.64
Indonesia,8146.92
Iran,11191.56
Iraq,16588.56
Ireland,36253.68
Italy,41606.76
Jamaica,6789.36
Japan,37904.04
Jersey,69804.84
Jordan,23356.8
Kazakhstan,8412
Kenya,10359.48
Kiribati,26477.4
Korea (North),2306.709
Korea (South),31121.04
Kyrgyzstan,2422.44
Laos,2477.04
Latvia,19848.8724
Lebanon,9039.96
Lesotho,6486.48
Liberia,4012.68
Libya,5006.16
Liechtenstein,62688.48
Lithuania,10846.49592
Luxembourg,57209.28
Macao,10275.12
Macedonia,8124
Madagascar,3010.44
Malawi,1588.56
Malaysia,14834.04
Maldives,13195.32
Mali,5742.96
Malta,53277
Marshall Islands,24840
Martinique,35391.12
Mauritania,535.476516
Mauritius,10818.36
Mayotte,28668.12
Mexico,20183.64
Micronesia,15000
Moldova,15824.16
Monaco,49344.6
Mongolia,6189.12
Montenegro,31458.72
Montserrat,10311.12
Morocco,19610.88
Mozambique,6597.72
Myanmar,2741.52
Namibia,9856.92
Nepal,6613.56
Netherlands,57082.44
Netherlands Antilles,27217.92
New Caledonia,7971.6
New Zealand,50356.92
Nicaragua,5389.2
Niger,5762.28
Nigeria,4678.2
Northern Mariana Islands,21840
Norway,53040.24
Oman,47187.48
Pakistan,2944.08
Palau,28560
Palestine,18120
Panama,22680
Papua New Guinea,12131.52
Paraguay,12236.28
Peru,21910.32
Philippines,8745.36
Poland,17958.84
Portugal,30444
Puerto Rico,17796
Qatar,46153.8
Reunion,23594.04
Romania,20878.44
Russia,11706.12
Rwanda,6304.68
Saint Kitts and Nevis,13111.08
Saint Lucia,11066.64
Saint Martin,37040.16
Saint Vincent and the Grenadines,13733.28
Samoa,9703.92
San Marino,53403.84
Sao Tome and Principe,3058.57956
Saudi Arabia,46080
Senegal,5916.96
Serbia,13440.48
Seychelles,14957.28
Sierra Leone,2989.2
Singapore,67764.72
Slovakia,25369.92
Slovenia,23213.52
Solomon Islands,7738.68
Somalia,4705.92
South Africa,17297.28
Spain,30951.36
Sri Lanka,2996.16
Sudan,811.32
Suriname,1466.16
Swaziland,2454.72
Sweden,42817.92
Switzerland,118032.84
Syria,121.44
Taiwan,42857.16
Tajikistan,11517.36
Tanzania,5493.24
Thailand,29187.36
Togo,9455.52
Tonga,8017.08
Trinidad and Tobago,15097.32
Tunisia,13059.96
Turkey,3049.2
Turkmenistan,16114.32
Turks and Caicos Islands,16200
Uganda,7742.52
Ukraine,6368.76
United Arab Emirates,39891
United Kingdom,75600
United States,83592
Uruguay,9283.68
Uzbekistan,1167
Vanuatu,9008.88
Venezuela,39384.24
Vietnam,7350.84
Virgin Islands (British),19200
Virgin Islands (US),28560
Western Sahara,10902.72
Yemen,1451.76
Zambia,3.13602048
Zimbabwe,6664.82448
